Season	Location	Variety	Disease Response
"None"	"Garoua, Cameroon"	"Songda"	"Unknown"
"None"	"Garoua, Cameroon"	"Suong-Pungun"	"Unknown"
"None"	"Garoua, Cameroon"	"TGX 1987-62F"	"Unknown"
"None"	"Garoua, Cameroon"	"TGX 1988-18F"	"Unknown"
"None"	"Garoua, Cameroon"	"TGX 1989-60F"	"Unknown"
"None"	"Garoua, Cameroon"	"TGX 1991-22F"	"Unknown"
"None"	"Garoua, Cameroon"	"TGX 2001-10DM"	"Unknown"
"None"	"Garoua, Cameroon"	"TGX 2001-13DM"	"Unknown"
"None"	"Garoua, Cameroon"	"TGX 2001-1DM"	"Unknown"
"None"	"Garoua, Cameroon"	"TGX 2001-24DM"	"Unknown"
"None"	"Garoua, Cameroon"	"TGX 2001-3FM"	"Unknown"
"None"	"Garoua, Cameroon"	"TGX 2001-8DM"	"Unknown"
"None"	"Garoua, Cameroon"	"TGX 2002-14DM"	"Unknown"
"None"	"Garoua, Cameroon"	"TGX 2002-23DM"	"Unknown"
"None"	"Garoua, Cameroon"	"TGX 2014-19FM"	"Unknown"
"None"	"Garoua, Cameroon"	"TGX 2014-5GM"	"Unknown"
"None"	"Garoua, Cameroon"	"TIKOLORE"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"Afayak"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"CLARK-63K"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"Jenguma"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"MAKSOY 1N"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"MAKSOY 2N"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"MAKSOY 3N"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"MAKSOY 4N"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"MAKSOY 5N"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"Makwacha"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"NASOKO"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"Panorama 1"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"Panorama 2"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"Panorama 27 D"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"Panorama 29 I"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"Panorama 3"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"Panorama 357"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"Panorama 358"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"Quarshie"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"S1079/6/7"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"S1140/5/4"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"S1150/5/22"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"S1179/5/58"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"S1180/5/54"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"Salintuya-I"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"SB 8 (DPSB 8)"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"SC SAGA"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"SC SENTINEL"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"SC SIGNAL"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"SC SPIKE"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"SCS-1"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"SNKGM011"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"Songda"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"Suong-Pungun"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"TGX 1910-14F"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"TGX 1987-62F"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"TGX 1988-18F"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"TGX 1988-18F"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"TGX 1989-60F"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"TGX 1991-22F"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"TGX 2001-10DM"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"TGX 2001-13DM"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"TGX 2001-1DM"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"TGX 2001-24DM"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"TGX 2001-3FM"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"TGX 2001-8DM"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"TGX 2002-14DM"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"TGX 2002-23DM"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"TGX 2006-3F"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"TGX 2008-4F"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"TGX 2014-19FM"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"TGX 2014-5GM"	"Unknown"
"None"	"Mbalmayo, Cameroon"	"TIKOLORE"	"Unknown"
"None"	"Nkolbisson, Cameroon"	"Afayak"	"Unknown"
"None"	"Nkolbisson, Cameroon"	"Jenguma"	"Unknown"
"None"	"Nkolbisson, Cameroon"	"MAKSOY 1N"	"Unknown"
"None"	"Nkolbisson, Cameroon"	"MAKSOY 3N"	"Unknown"
"None"	"Nkolbisson, Cameroon"	"Panorama 1"	"Unknown"
"None"	"Nkolbisson, Cameroon"	"Panorama 2"	"Unknown"
"None"	"Nkolbisson, Cameroon"	"Panorama 27 D"	"Unknown"
"None"	"Nkolbisson, Cameroon"	"Panorama 29 I"	"Unknown"
"None"	"Nkolbisson, Cameroon"	"Panorama 3"	"Unknown"
"None"	"Nkolbisson, Cameroon"	"Panorama 357"	"Unknown"
"None"	"Nkolbisson, Cameroon"	"Panorama 358"	"Unknown"
"None"	"Nkolbisson, Cameroon"	"S1180/5/54"	"Unknown"
"None"	"Nkolbisson, Cameroon"	"SC SAGA"	"Unknown"
"None"	"Nkolbisson, Cameroon"	"SC SENTINEL"	"Unknown"
"None"	"Nkolbisson, Cameroon"	"SC SIGNAL"	"Unknown"
"None"	"Nkolbisson, Cameroon"	"Suong-Pungun"	"Unknown"
"None"	"Nkolbisson, Cameroon"	"TGX 1910-14F"	"Unknown"
"None"	"Nkolbisson, Cameroon"	"TGX 1988-18F"	"Unknown"
"None"	"Nkolbisson, Cameroon"	"TGX 1989-60F"	"Unknown"
"None"	"Nkolbisson, Cameroon"	"TGX 2001-10DM"	"Unknown"
"None"	"Nkolbisson, Cameroon"	"TGX 2001-24DM"	"Unknown"
"None"	"Yaounde, Cameroon"	"Afayak"	"Unknown"
"None"	"Yaounde, Cameroon"	"CLARK-63K"	"Unknown"
"None"	"Yaounde, Cameroon"	"Jenguma"	"Unknown"
"None"	"Yaounde, Cameroon"	"MAKSOY 1N"	"Unknown"
"None"	"Yaounde, Cameroon"	"MAKSOY 2N"	"Unknown"
"None"	"Yaounde, Cameroon"	"MAKSOY 3N"	"Unknown"
"None"	"Yaounde, Cameroon"	"MAKSOY 4N"	"Unknown"
"None"	"Yaounde, Cameroon"	"MAKSOY 5N"	"Unknown"
"None"	"Yaounde, Cameroon"	"Makwacha"	"Unknown"
"None"	"Yaounde, Cameroon"	"NASOKO"	"Unknown"
"None"	"Yaounde, Cameroon"	"Quarshie"	"Unknown"
"None"	"Yaounde, Cameroon"	"S1079/6/7"	"Unknown"
"None"	"Yaounde, Cameroon"	"S1140/5/4"	"Unknown"
"None"	"Yaounde, Cameroon"	"S1150/5/22"	"Unknown"
"None"	"Yaounde, Cameroon"	"S1179/5/58"	"Unknown"
"None"	"Yaounde, Cameroon"	"Salintuya-I"	"Unknown"
"None"	"Yaounde, Cameroon"	"SB 8 (DPSB 8)"	"Unknown"
"None"	"Yaounde, Cameroon"	"SC SAGA"	"Unknown"
"None"	"Yaounde, Cameroon"	"SC SENTINEL"	"Unknown"
"None"	"Yaounde, Cameroon"	"SC SIGNAL"	"Unknown"
"None"	"Yaounde, Cameroon"	"SC SPIKE"	"Unknown"
"None"	"Yaounde, Cameroon"	"SCS-1"	"Unknown"
"None"	"Yaounde, Cameroon"	"SNKGM011"	"Unknown"
"None"	"Yaounde, Cameroon"	"Songda"	"Unknown"
"None"	"Yaounde, Cameroon"	"Suong-Pungun"	"Unknown"
"None"	"Yaounde, Cameroon"	"TGX 1910-14F"	"Unknown"
"None"	"Yaounde, Cameroon"	"TGX 1987-62F"	"Unknown"
"None"	"Yaounde, Cameroon"	"TGX 1988-18F"	"Unknown"
"None"	"Yaounde, Cameroon"	"TGX 1989-60F"	"Unknown"
"None"	"Yaounde, Cameroon"	"TGX 1991-22F"	"Unknown"
"None"	"Yaounde, Cameroon"	"TGX 2001-10DM"	"Unknown"
"None"	"Yaounde, Cameroon"	"TGX 2001-13DM"	"Unknown"
"None"	"Yaounde, Cameroon"	"TGX 2001-1DM"	"Unknown"
"None"	"Yaounde, Cameroon"	"TGX 2001-24DM"	"Unknown"
"None"	"Yaounde, Cameroon"	"TGX 2001-3FM"	"Unknown"
"None"	"Yaounde, Cameroon"	"TGX 2001-8DM"	"Unknown"
"None"	"Yaounde, Cameroon"	"TGX 2002-14DM"	"Unknown"
"None"	"Yaounde, Cameroon"	"TGX 2002-23DM"	"Unknown"
"None"	"Yaounde, Cameroon"	"TGX 2006-3F"	"Unknown"
"None"	"Yaounde, Cameroon"	"TGX 2014-19FM"	"Unknown"
"None"	"Yaounde, Cameroon"	"TGX 2014-5GM"	"Unknown"
"None"	"Yaounde, Cameroon"	"TIKOLORE"	"Unknown"
"None"	"Jimma, Ethiopia"	"CLARK-63K"	"Unknown"
"None"	"Jimma, Ethiopia"	"Favour"	"Unknown"
"None"	"Jimma, Ethiopia"	"KNSOY 006 (Gazelle)"	"Unknown"
"None"	"Jimma, Ethiopia"	"Kafue"	"Unknown"
"None"	"Jimma, Ethiopia"	"KNSOY 001 (Nyala)"	"Unknown"
"None"	"Jimma, Ethiopia"	"Panorama 29 I"	"Unknown"
"None"	"Jimma, Ethiopia"	"PAWE 1"	"Unknown"
"None"	"Jimma, Ethiopia"	"PAWE 2"	"Unknown"
"None"	"Jimma, Ethiopia"	"PAWE 3"	"Unknown"
"None"	"Jimma, Ethiopia"	"S1079/6/7"	"Unknown"
"None"	"Jimma, Ethiopia"	"S1140/5/4"	"Unknown"
"None"	"Jimma, Ethiopia"	"S1150/5/22"	"Unknown"
"None"	"Jimma, Ethiopia"	"S1180/5/54"	"Unknown"
"None"	"Jimma, Ethiopia"	"SC SAFARI"	"Unknown"
"None"	"Jimma, Ethiopia"	"SC SAGA"	"Unknown"
"None"	"Jimma, Ethiopia"	"SC SAXON"	"Unknown"
"None"	"Jimma, Ethiopia"	"SC SENTINEL"	"Unknown"
"None"	"Jimma, Ethiopia"	"SC SERENADE"	"Unknown"
"None"	"Jimma, Ethiopia"	"SC SIGNAL"	"Unknown"
"None"	"Jimma, Ethiopia"	"SC SPIKE"	"Unknown"
"None"	"Jimma, Ethiopia"	"SC STATUS"	"Unknown"
"None"	"Jimma, Ethiopia"	"SCS-1"	"Unknown"
"None"	"Jimma, Ethiopia"	"SSS500"	"Unknown"
"None"	"Jimma, Ethiopia"	"TGX 2001-6FM"	"Unknown"
"None"	"Jimma, Ethiopia"	"TGX 2001-8DM"	"Unknown"
"None"	"Jimma, Ethiopia"	"TGX 2002-3DM"	"Unknown"
"None"	"Jimma, Ethiopia"	"TGX 2014-16FM"	"Unknown"
"None"	"Jimma, Ethiopia"	"TGX 2014-23FM"	"Unknown"
"None"	"Jimma, Ethiopia"	"TGX 2014-5GM"	"Unknown"
"None"	"Jimma, Ethiopia"	"Afgat"	"Unknown"
"None"	"Pawe, Ethiopia"	"CLARK-63K"	"Unknown"
"None"	"Pawe, Ethiopia"	"Favour"	"Unknown"
"None"	"Pawe, Ethiopia"	"KNSOY 006 (Gazelle)"	"Unknown"
"None"	"Pawe, Ethiopia"	"Kafue"	"Unknown"
"None"	"Pawe, Ethiopia"	"KNSOY 001 (Nyala)"	"Unknown"
"None"	"Pawe, Ethiopia"	"Panorama 29 I"	"Unknown"
"None"	"Pawe, Ethiopia"	"PAWE 1"	"Unknown"
"None"	"Pawe, Ethiopia"	"PAWE 2"	"Unknown"
"None"	"Pawe, Ethiopia"	"PAWE 3"	"Unknown"
"None"	"Pawe, Ethiopia"	"S1079/6/7"	"Unknown"
"None"	"Pawe, Ethiopia"	"S1140/5/4"	"Unknown"
"None"	"Pawe, Ethiopia"	"S1150/5/22"	"Unknown"
"None"	"Pawe, Ethiopia"	"S1180/5/54"	"Unknown"
"None"	"Pawe, Ethiopia"	"SC SAFARI"	"Unknown"
"None"	"Pawe, Ethiopia"	"SC SAGA"	"Unknown"
"None"	"Pawe, Ethiopia"	"SC SAXON"	"Unknown"
"None"	"Pawe, Ethiopia"	"SC SENTINEL"	"Unknown"
"None"	"Pawe, Ethiopia"	"SC SERENADE"	"Unknown"
"None"	"Pawe, Ethiopia"	"SC SIGNAL"	"Unknown"
"None"	"Pawe, Ethiopia"	"SC SPIKE"	"Unknown"
"None"	"Pawe, Ethiopia"	"SC STATUS"	"Unknown"
"None"	"Pawe, Ethiopia"	"SCS-1"	"Unknown"
"None"	"Pawe, Ethiopia"	"SSS500"	"Unknown"
"None"	"Pawe, Ethiopia"	"TGX 2001-6FM"	"Unknown"
"None"	"Pawe, Ethiopia"	"TGX 2001-8DM"	"Unknown"
"None"	"Pawe, Ethiopia"	"TGX 2002-3DM"	"Unknown"
"None"	"Pawe, Ethiopia"	"TGX 2014-16FM"	"Unknown"
"None"	"Pawe, Ethiopia"	"TGX 2014-23FM"	"Unknown"
"None"	"Pawe, Ethiopia"	"TGX 2014-5GM"	"Unknown"
"None"	"Pawe, Ethiopia"	"Afgat"	"Unknown"
"None"	"Bamahu, Ghana"	"Afayak"	"Unknown"
"None"	"Bamahu, Ghana"	"Favour"	"Unknown"
"None"	"Bamahu, Ghana"	"Jenguma"	"Unknown"
"None"	"Bamahu, Ghana"	"MAKSOY 1N"	"Unknown"
"None"	"Bamahu, Ghana"	"MAKSOY 2N"	"Unknown"
"None"	"Bamahu, Ghana"	"MAKSOY 3N"	"Unknown"
"None"	"Bamahu, Ghana"	"MAKSOY 4N"	"Unknown"
"None"	"Bamahu, Ghana"	"MAKSOY 5N"	"Unknown"
"None"	"Bamahu, Ghana"	"Panorama 1"	"Unknown"
"None"	"Bamahu, Ghana"	"Panorama 2"	"Unknown"
"None"	"Bamahu, Ghana"	"Panorama 27 D"	"Unknown"
"None"	"Bamahu, Ghana"	"Panorama 29 I"	"Unknown"
"None"	"Bamahu, Ghana"	"Panorama 3"	"Unknown"
"None"	"Bamahu, Ghana"	"Panorama 357"	"Unknown"
"None"	"Bamahu, Ghana"	"Panorama 358"	"Unknown"
"None"	"Bamahu, Ghana"	"Quarshie"	"Unknown"
"None"	"Bamahu, Ghana"	"S1079/6/7"	"Unknown"
"None"	"Bamahu, Ghana"	"S1140/5/4"	"Unknown"
"None"	"Bamahu, Ghana"	"S1150/5/22"	"Unknown"
"None"	"Bamahu, Ghana"	"S1180/5/54"	"Unknown"
"None"	"Bamahu, Ghana"	"SC SAFARI"	"Unknown"
"None"	"Bamahu, Ghana"	"Salintuya-I"	"Unknown"
"None"	"Bamahu, Ghana"	"SC SAGA"	"Unknown"
"None"	"Bamahu, Ghana"	"SC SAXON"	"Unknown"
"None"	"Bamahu, Ghana"	"SC SENTINEL"	"Unknown"
"None"	"Bamahu, Ghana"	"SC SIGNAL"	"Unknown"
"None"	"Bamahu, Ghana"	"SC SPIKE"	"Unknown"
"None"	"Bamahu, Ghana"	"SC STATUS"	"Unknown"
"None"	"Bamahu, Ghana"	"Songda"	"Unknown"
"None"	"Bamahu, Ghana"	"Suong-Pungun"	"Unknown"
"None"	"Bamahu, Ghana"	"TGX 1991-22F"	"Unknown"
"None"	"Bamahu, Ghana"	"TGX 2001-13DM"	"Unknown"
"None"	"Bamahu, Ghana"	"TGX 2001-3FM"	"Unknown"
"None"	"Bamahu, Ghana"	"TGX 2001-6FM"	"Unknown"
"None"	"Bamahu, Ghana"	"TGX 2001-8DM"	"Unknown"
"None"	"Bamahu, Ghana"	"TGX 2002-14DM"	"Unknown"
"None"	"Bamahu, Ghana"	"TGX 2002-3DM"	"Unknown"
"None"	"Bamahu, Ghana"	"TGX 2014-16FM"	"Unknown"
"None"	"Bamahu, Ghana"	"TGX 2014-23FM"	"Unknown"
"None"	"Bamahu, Ghana"	"TGX 2014-5GM"	"Unknown"
"None"	"Ejura, Ghana"	"Afayak"	"Unknown"
"None"	"Ejura, Ghana"	"Favour"	"Unknown"
"None"	"Ejura, Ghana"	"Jenguma"	"Unknown"
"None"	"Ejura, Ghana"	"MAKSOY 1N"	"Unknown"
"None"	"Ejura, Ghana"	"MAKSOY 2N"	"Unknown"
"None"	"Ejura, Ghana"	"MAKSOY 3N"	"Unknown"
"None"	"Ejura, Ghana"	"MAKSOY 4N"	"Unknown"
"None"	"Ejura, Ghana"	"MAKSOY 5N"	"Unknown"
"None"	"Ejura, Ghana"	"Panorama 1"	"Unknown"
"None"	"Ejura, Ghana"	"Panorama 2"	"Unknown"
"None"	"Ejura, Ghana"	"Panorama 27 D"	"Unknown"
"None"	"Ejura, Ghana"	"Panorama 29 I"	"Unknown"
"None"	"Ejura, Ghana"	"Panorama 3"	"Unknown"
"None"	"Ejura, Ghana"	"Panorama 357"	"Unknown"
"None"	"Ejura, Ghana"	"Panorama 358"	"Unknown"
"None"	"Ejura, Ghana"	"Quarshie"	"Unknown"
"None"	"Ejura, Ghana"	"S1079/6/7"	"Unknown"
"None"	"Ejura, Ghana"	"S1140/5/4"	"Unknown"
"None"	"Ejura, Ghana"	"S1150/5/22"	"Unknown"
"None"	"Ejura, Ghana"	"S1180/5/54"	"Unknown"
"None"	"Ejura, Ghana"	"SC SAFARI"	"Unknown"
"None"	"Ejura, Ghana"	"Salintuya-I"	"Unknown"
"None"	"Ejura, Ghana"	"SC SAGA"	"Unknown"
"None"	"Ejura, Ghana"	"SC SAXON"	"Unknown"
"None"	"Ejura, Ghana"	"SC SENTINEL"	"Unknown"
"None"	"Ejura, Ghana"	"SC SIGNAL"	"Unknown"
"None"	"Ejura, Ghana"	"SC SPIKE"	"Unknown"
"None"	"Ejura, Ghana"	"SC STATUS"	"Unknown"
"None"	"Ejura, Ghana"	"Songda"	"Unknown"
"None"	"Ejura, Ghana"	"Suong-Pungun"	"Unknown"
"None"	"Ejura, Ghana"	"TGX 1991-22F"	"Unknown"
"None"	"Ejura, Ghana"	"TGX 2001-13DM"	"Unknown"
"None"	"Ejura, Ghana"	"TGX 2001-3FM"	"Unknown"
"None"	"Ejura, Ghana"	"TGX 2001-6FM"	"Unknown"
"None"	"Ejura, Ghana"	"TGX 2001-8DM"	"Unknown"
"None"	"Ejura, Ghana"	"TGX 2002-14DM"	"Unknown"
"None"	"Ejura, Ghana"	"TGX 2002-3DM"	"Unknown"
"None"	"Ejura, Ghana"	"TGX 2014-16FM"	"Unknown"
"None"	"Ejura, Ghana"	"TGX 2014-23FM"	"Unknown"
"None"	"Ejura, Ghana"	"TGX 2014-5GM"	"Unknown"
"None"	"Fumesua, Ghana"	"Afayak"	"Unknown"
"None"	"Fumesua, Ghana"	"Favour"	"Unknown"
"None"	"Fumesua, Ghana"	"Jenguma"	"Unknown"
"None"	"Fumesua, Ghana"	"MAKSOY 1N"	"Unknown"
"None"	"Fumesua, Ghana"	"MAKSOY 2N"	"Unknown"
"None"	"Fumesua, Ghana"	"MAKSOY 3N"	"Unknown"
"None"	"Fumesua, Ghana"	"MAKSOY 4N"	"Unknown"
"None"	"Fumesua, Ghana"	"MAKSOY 5N"	"Unknown"
"None"	"Fumesua, Ghana"	"Panorama 1"	"Unknown"
"None"	"Fumesua, Ghana"	"Panorama 2"	"Unknown"
"None"	"Fumesua, Ghana"	"Panorama 27 D"	"Unknown"
"None"	"Fumesua, Ghana"	"Panorama 29 I"	"Unknown"
"None"	"Fumesua, Ghana"	"Panorama 3"	"Unknown"
"None"	"Fumesua, Ghana"	"Panorama 357"	"Unknown"
"None"	"Fumesua, Ghana"	"Panorama 358"	"Unknown"
"None"	"Fumesua, Ghana"	"Quarshie"	"Unknown"
"None"	"Fumesua, Ghana"	"S1079/6/7"	"Unknown"
"None"	"Fumesua, Ghana"	"S1140/5/4"	"Unknown"
"None"	"Fumesua, Ghana"	"S1150/5/22"	"Unknown"
"None"	"Fumesua, Ghana"	"S1180/5/54"	"Unknown"
"None"	"Fumesua, Ghana"	"SC SAFARI"	"Unknown"
"None"	"Fumesua, Ghana"	"Salintuya-I"	"Unknown"
"None"	"Fumesua, Ghana"	"SC SAGA"	"Unknown"
"None"	"Fumesua, Ghana"	"SC SAXON"	"Unknown"
"None"	"Fumesua, Ghana"	"SC SENTINEL"	"Unknown"
"None"	"Fumesua, Ghana"	"SC SIGNAL"	"Unknown"
"None"	"Fumesua, Ghana"	"SC SPIKE"	"Unknown"
"None"	"Fumesua, Ghana"	"SC STATUS"	"Unknown"
"None"	"Fumesua, Ghana"	"Songda"	"Unknown"
"None"	"Fumesua, Ghana"	"Suong-Pungun"	"Unknown"
"None"	"Fumesua, Ghana"	"TGX 1991-22F"	"Unknown"
"None"	"Fumesua, Ghana"	"TGX 2001-13DM"	"Unknown"
"None"	"Fumesua, Ghana"	"TGX 2001-3FM"	"Unknown"
"None"	"Fumesua, Ghana"	"TGX 2001-6FM"	"Unknown"
"None"	"Fumesua, Ghana"	"TGX 2001-8DM"	"Unknown"
"None"	"Fumesua, Ghana"	"TGX 2002-14DM"	"Unknown"
"None"	"Fumesua, Ghana"	"TGX 2002-3DM"	"Unknown"
"None"	"Fumesua, Ghana"	"TGX 2014-16FM"	"Unknown"
"None"	"Fumesua, Ghana"	"TGX 2014-23FM"	"Unknown"
"None"	"Fumesua, Ghana"	"TGX 2014-5GM"	"Unknown"
"None"	"Nyankpala, Ghana"	"Afayak"	"Unknown"
"None"	"Nyankpala, Ghana"	"Favour"	"Unknown"
"None"	"Nyankpala, Ghana"	"Jenguma"	"Unknown"
"None"	"Nyankpala, Ghana"	"MAKSOY 1N"	"Unknown"
"None"	"Nyankpala, Ghana"	"MAKSOY 2N"	"Unknown"
"None"	"Nyankpala, Ghana"	"MAKSOY 3N"	"Unknown"
"None"	"Nyankpala, Ghana"	"MAKSOY 4N"	"Unknown"
"None"	"Nyankpala, Ghana"	"MAKSOY 5N"	"Unknown"
"None"	"Nyankpala, Ghana"	"Panorama 1"	"Unknown"
"None"	"Nyankpala, Ghana"	"Panorama 2"	"Unknown"
"None"	"Nyankpala, Ghana"	"Panorama 27 D"	"Unknown"
"None"	"Nyankpala, Ghana"	"Panorama 29 I"	"Unknown"
"None"	"Nyankpala, Ghana"	"Panorama 3"	"Unknown"
"None"	"Nyankpala, Ghana"	"Panorama 357"	"Unknown"
"None"	"Nyankpala, Ghana"	"Panorama 358"	"Unknown"
"None"	"Nyankpala, Ghana"	"Quarshie"	"Unknown"
"None"	"Nyankpala, Ghana"	"S1079/6/7"	"Unknown"
"None"	"Nyankpala, Ghana"	"S1140/5/4"	"Unknown"
"None"	"Nyankpala, Ghana"	"S1150/5/22"	"Unknown"
"None"	"Nyankpala, Ghana"	"S1180/5/54"	"Unknown"
"None"	"Nyankpala, Ghana"	"SC SAFARI"	"Unknown"
"None"	"Nyankpala, Ghana"	"Salintuya-I"	"Unknown"
"None"	"Nyankpala, Ghana"	"SC SAGA"	"Unknown"
"None"	"Nyankpala, Ghana"	"SC SAXON"	"Unknown"
"None"	"Nyankpala, Ghana"	"SC SENTINEL"	"Unknown"
"None"	"Nyankpala, Ghana"	"SC SIGNAL"	"Unknown"
"None"	"Nyankpala, Ghana"	"SC SPIKE"	"Unknown"
"None"	"Nyankpala, Ghana"	"SC STATUS"	"Unknown"
"None"	"Nyankpala, Ghana"	"Songda"	"Unknown"
"None"	"Nyankpala, Ghana"	"Suong-Pungun"	"Unknown"
"None"	"Nyankpala, Ghana"	"TGX 1991-22F"	"Unknown"
"None"	"Nyankpala, Ghana"	"TGX 2001-13DM"	"Unknown"
"None"	"Nyankpala, Ghana"	"TGX 2001-3FM"	"Unknown"
"None"	"Nyankpala, Ghana"	"TGX 2001-6FM"	"Unknown"
"None"	"Nyankpala, Ghana"	"TGX 2001-8DM"	"Unknown"
"None"	"Nyankpala, Ghana"	"TGX 2002-14DM"	"Unknown"
"None"	"Nyankpala, Ghana"	"TGX 2002-3DM"	"Unknown"
"None"	"Nyankpala, Ghana"	"TGX 2014-16FM"	"Unknown"
"None"	"Nyankpala, Ghana"	"TGX 2014-23FM"	"Unknown"
"None"	"Nyankpala, Ghana"	"TGX 2014-5GM"	"Unknown"
"None"	"Kajiado, Kenya"	"BRS 326"	"Unknown"
"None"	"Kajiado, Kenya"	"BRS 7980"	"Unknown"
"None"	"Kajiado, Kenya"	"BRS 8660"	"Unknown"
"None"	"Kajiado, Kenya"	"BRS CHAPADOES"	"Unknown"
"None"	"Kajiado, Kenya"	"BRS JIRIPOCA"	"Unknown"
"None"	"Kajiado, Kenya"	"BRS PEROLA"	"Unknown"
"None"	"Kajiado, Kenya"	"BRS SAMBAIBA"	"Unknown"
"None"	"Kajiado, Kenya"	"BRS TRACAJA"	"Unknown"
"None"	"Kajiado, Kenya"	"CLARK-63K"	"Unknown"
"None"	"Kajiado, Kenya"	"CONQUISTA"	"Unknown"
"None"	"Kajiado, Kenya"	"MRI DINA"	"Unknown"
"None"	"Kajiado, Kenya"	"SC SAGA"	"Unknown"
"None"	"Kajiado, Kenya"	"SCS-1"	"Unknown"
"None"	"Kajiado, Kenya"	"TGX 1740-2F"	"Unknown"
"None"	"Kajiado, Kenya"	"TGX 1835-10E"	"Unknown"
"None"	"Kajiado, Kenya"	"TGX 1904-6F"	"Unknown"
"None"	"Kajiado, Kenya"	"TGX 1908-8F"	"Unknown"
"None"	"Kajiado, Kenya"	"TGX 1963-3F"	"Unknown"
"None"	"Kajiado, Kenya"	"TGX 1987-10F"	"Unknown"
"None"	"Kajiado, Kenya"	"TGX 1987-38F"	"Unknown"
"None"	"Kajiado, Kenya"	"TGX 1987-62F"	"Unknown"
"None"	"Kajiado, Kenya"	"TGX 1988-5F"	"Unknown"
"None"	"Kajiado, Kenya"	"TGX 1990-67F"	"Unknown"
"None"	"Kamur, Kenya"	"BRS JIRIPOCA"	"Unknown"
"None"	"Kamur, Kenya"	"BRS PEROLA"	"Unknown"
"None"	"Kamur, Kenya"	"BRS TRACAJA"	"Unknown"
"None"	"Kamur, Kenya"	"KNSOY 006 (Gazelle)"	"Unknown"
"None"	"Kamur, Kenya"	"KNSOY 009 (Kensoy009)"	"Unknown"
"None"	"Kamur, Kenya"	"MRI DINA"	"Unknown"
"None"	"Kiambu, Kenya"	"CLARK-63K"	"Unknown"
"None"	"Kiambu, Kenya"	"Favour"	"Unknown"
"None"	"Kiambu, Kenya"	"KNSOY 006 (Gazelle)"	"Unknown"
"None"	"Kiambu, Kenya"	"Kafue"	"Unknown"
"None"	"Kiambu, Kenya"	"KNSOY 001 (Nyala)"	"Unknown"
"None"	"Kiambu, Kenya"	"Panorama 1"	"Unknown"
"None"	"Kiambu, Kenya"	"Panorama 2"	"Unknown"
"None"	"Kiambu, Kenya"	"Panorama 29 I"	"Unknown"
"None"	"Kiambu, Kenya"	"Panorama 3"	"Unknown"
"None"	"Kiambu, Kenya"	"S1079/6/7"	"Unknown"
"None"	"Kiambu, Kenya"	"S1140/5/4"	"Unknown"
"None"	"Kiambu, Kenya"	"S1150/5/22"	"Unknown"
