Season	Location	Variety	Disease Response
2019	Kabanyolo, Uganda	SC SPIKE	Susceptible
2019	Kabanyolo, Uganda	SCS-1	Susceptible
2019	Kabanyolo, Uganda	SNKGM001	Susceptible
2019	Kabanyolo, Uganda	SNKGM002	Susceptible
2019	Kabanyolo, Uganda	SNKGM003	Susceptible
2019	Kabanyolo, Uganda	SNKGM004	Resistant
2019	Kabanyolo, Uganda	TGX 2001-10DM	Susceptible
2019	Kabanyolo, Uganda	TGX 2001-13DM	Susceptible
2019	Kabanyolo, Uganda	TGX 2001-1DM	Susceptible
2019	Kabanyolo, Uganda	TGX 2001-24DM	Susceptible
2019	Kabanyolo, Uganda	TGX 2001-3FM	Susceptible
2019	Kabanyolo, Uganda	TGX 2001-8DM	Susceptible
2019	Kabanyolo, Uganda	TGX 2002-14DM	Susceptible
2019	Kabanyolo, Uganda	TGX 2002-23DM	Susceptible
2019	Kabanyolo, Uganda	TGX 2014-19FM	Susceptible
2019	Kabanyolo, Uganda	TGX 2014-5GM	Susceptible
2019	Kabanyolo, Uganda	TIKOLORE	Susceptible
2019/2020	Mpale, Malawi	Gazelle	Susceptible
2019/2020	Mpale, Malawi	KALEYA	Susceptible
2019/2020	Mpale, Malawi	Lukanga	Susceptible
2019/2020	Mpale, Malawi	MAKSOY 5N	Resistant
2019/2020	Mpale, Malawi	MAKWACHA	Susceptible
2019/2020	Mpale, Malawi	NASOKO	Susceptible
2019/2020	Mpale, Malawi	NYALA	Susceptible
2019/2020	Mpale, Malawi	S1079/6/7	Susceptible
2019/2020	Mpale, Malawi	S1146/5/25	Resistant
2019/2020	Mpale, Malawi	S1150/5/22	Resistant
2019/2020	Mpale, Malawi	S1180/5/54	Resistant
2019/2020	Mpale, Malawi	SC SAGA	Resistant
2019/2020	Mpale, Malawi	SC SEMEKI	Susceptible
2019/2020	Mpale, Malawi	SC SIGNAL	Resistant
2019/2020	Mpale, Malawi	SC SPIKE	Resistant
2019/2020	Mpale, Malawi	SC SQUIRE	Resistant
2019/2020	Mpale, Malawi	SC STATUS	Resistant
2019/2020	Mpale, Malawi	TGX 1987-62F	Susceptible
2019/2020	Mpale, Malawi	TGX 1991-22F	Susceptible
2019/2020	Mpale, Malawi	TGX 2001-11DM	Susceptible
2019/2020	Mpale, Malawi	TGX 2001-13DM	Susceptible
2019/2020	Mpale, Malawi	TGX 2001-3FM	Susceptible
2019/2020	Mpale, Malawi	TGX 2001-8DM	Susceptible
2019/2020	Mpale, Malawi	TGX 2002-14DM	Susceptible
2019/2020	Mpale, Malawi	TGX 2002-3FM	Susceptible
2019/2020	Mpale, Malawi	TGX 2002-9FM	Susceptible
2019/2020	Mpale, Malawi	TGX 2014-16FM	Susceptible
2019/2020	Mpale, Malawi	TGX 2014-43FM	Susceptible
2019/2020	Mpale, Malawi	TGX 2014-5GM	Susceptible
2019/2020	Mpale, Malawi	TIKOLORE	Susceptible
2019	Nakabango, Uganda	CLARK-63K	Susceptible
2019	Nakabango, Uganda	KALEYA	Susceptible
2019	Nakabango, Uganda	Lukanga	Susceptible
2019	Nakabango, Uganda	MAKSOY 1N	Susceptible
2019	Nakabango, Uganda	MAKSOY 2N	Susceptible
2019	Nakabango, Uganda	MAKSOY 3N	Susceptible
2019	Nakabango, Uganda	MAKSOY 4N	Susceptible
2019	Nakabango, Uganda	MAKSOY 5N	Susceptible
2019	Nakabango, Uganda	MAKSOY 6N	Susceptible
2019	Nakabango, Uganda	MAKWACHA	Susceptible
2019	Nakabango, Uganda	NASOKO	Susceptible
2019	Nakabango, Uganda	S1079/6/7	Susceptible
2019	Nakabango, Uganda	S1140/5/4	Susceptible
2019	Nakabango, Uganda	S1150/5/22	Susceptible
2019	Nakabango, Uganda	S1179/5/58	Susceptible
2019	Nakabango, Uganda	SC SAGA	Susceptible
2019	Nakabango, Uganda	SC SENTINEL	Susceptible
2019	Nakabango, Uganda	SC SIGNAL	Susceptible
2019	Nakabango, Uganda	SC SPIKE	Susceptible
2019	Nakabango, Uganda	SCS-1	Susceptible
2019	Nakabango, Uganda	SNKGM001	Susceptible
2019	Nakabango, Uganda	SNKGM002	Susceptible
2019	Nakabango, Uganda	SNKGM003	Susceptible
2019	Nakabango, Uganda	SNKGM004	Resistant
2019	Nakabango, Uganda	TGX 2001-10DM	Susceptible
2019	Nakabango, Uganda	TGX 2001-13DM	Susceptible
2019	Nakabango, Uganda	TGX 2001-1DM	Susceptible
2019	Nakabango, Uganda	TGX 2001-24DM	Susceptible
2019	Nakabango, Uganda	TGX 2001-3FM	Susceptible
2019	Nakabango, Uganda	TGX 2001-8DM	Susceptible
2019	Nakabango, Uganda	TGX 2002-14DM	Susceptible
2019	Nakabango, Uganda	TGX 2002-23DM	Susceptible
2019	Nakabango, Uganda	TGX 2014-19FM	Susceptible
2019	Nakabango, Uganda	TGX 2014-5GM	Susceptible
2019	Nakabango, Uganda	TIKOLORE	Susceptible
2019	Njoro, Kenya	CLARK-63K	Susceptible
2019	Njoro, Kenya	FAVOUR	Susceptible
2019	Njoro, Kenya	Gazelle	Susceptible
2019	Njoro, Kenya	Kafue	Resistant
2019	Njoro, Kenya	NYALA	Susceptible
2019	Njoro, Kenya	Panorama 1	Susceptible
2019	Njoro, Kenya	Panorama 2	Susceptible
2019	Njoro, Kenya	PANORAMA 29 I	Susceptible
2019	Njoro, Kenya	PANORAMA 3	Susceptible
2019	Njoro, Kenya	S1079/6/7	Susceptible
2019	Njoro, Kenya	S1140/5/4	Susceptible
2019	Njoro, Kenya	S1150/5/22	Susceptible
2019	Njoro, Kenya	S1180/5/54	Susceptible
2019	Njoro, Kenya	SAFARI	Susceptible
2019	Njoro, Kenya	SC SAGA	Susceptible
2019	Njoro, Kenya	SC SAXON	Susceptible
2019	Njoro, Kenya	SC SENTINEL	Susceptible
2019	Njoro, Kenya	SC SERENADE	Susceptible
2019	Njoro, Kenya	SC SIGNAL	Susceptible
2019	Njoro, Kenya	SC SPIKE	Susceptible
2019	Njoro, Kenya	SC SQUIRE	Susceptible
2019	Njoro, Kenya	SC STATUS	Susceptible
2019	Njoro, Kenya	SCS-1	Resistant
2019	Njoro, Kenya	SNK500	Resistant
2019	Njoro, Kenya	TGX 2001-6FM	Susceptible
2019	Njoro, Kenya	TGX 2001-8DM	Susceptible
2019	Njoro, Kenya	TGX 2002-3DM	Susceptible
2019	Njoro, Kenya	TGX 2014-16FM	Susceptible
2019	Njoro, Kenya	TGX 2014-23FM	Susceptible
2019	Njoro, Kenya	TGX 2014-5GM	Susceptible"None"	"Djidja, Benin"	"Afayak"	"Unknown"
"None"	"Djidja, Benin"	"Favour"	"Unknown"
"None"	"Djidja, Benin"	"Jenguma"	"Unknown"
"None"	"Djidja, Benin"	"MAKSOY 1N"	"Unknown"
"None"	"Djidja, Benin"	"MAKSOY 2N"	"Unknown"
"None"	"Djidja, Benin"	"MAKSOY 3N"	"Unknown"
